  X         Y         Z       PDOP   TDOP   GDOP

-2148741.46    4426649.87    4044655.89    2.21    1.33    2.58

-2148741.07    4426649.99    4044654.53    2.21    1.33    2.58

-2148740.49    4426649.70    4044654.37    2.21    1.34    2.59

-2148740.32    4426649.89    4044653.99    2.22    1.34    2.59

-2148739.58    4426650.49    4044654.19    2.22    1.34    2.59

-2148740.68    4426648.82    4044653.73    2.23    1.34    2.60

-2148741.66    4426651.56    4044655.21    2.23    1.34    2.60

-2148740.64    4426650.41    4044654.22    2.23    1.34    2.61

-2148741.04    4426649.95    4044653.92    2.24    1.34    2.61

-2148741.23    4426650.80    4044655.42    2.24    1.34    2.61

-2148739.60    4426650.48    4044654.38    2.24    1.34    2.61

-2148738.82    4426649.47    4044652.62    2.25    1.34    2.62

-2148738.49    4426648.32    4044652.01    2.25    1.34    2.62

-2148739.60    4426647.31    4044651.27    2.25    1.34    2.62

-2148740.27    4426649.27    4044652.17    2.25    1.34    2.62

-2148738.78    4426648.91    4044651.30    2.25    1.34    2.62

-2148739.91    4426650.65    4044652.60    2.26    1.34    2.63

-2148739.95    4426650.21    4044654.24    2.26    1.34    2.63

-2148739.24    4426645.79    4044649.93    2.26    1.34    2.63

-2148739.33    4426650.34    4044653.45    2.26    1.34    2.63

-2148740.21    4426652.05    4044655.71    2.26    1.34    2.63

-2148738.80    4426647.60    4044651.17    2.26    1.34    2.63

-2148739.10    4426650.54    4044653.67    2.26    1.34    2.63

-2148738.33    4426649.38    4044651.95    2.26    1.33    2.63

-2148737.69    4426647.61    4044649.98    2.26    1.33    2.62

-2148737.70    4426648.96    4044651.15    2.26    1.33    2.62

-2148736.62    4426648.17    4044649.89    2.26    1.33    2.62

-2148737.33    4426647.85    4044651.04    2.26    1.33    2.62

-2148736.05    4426648.28    4044649.98    2.26    1.32    2.62

-2148738.37    4426651.33    4044652.80    2.26    1.32    2.61

-2148737.35    4426650.25    4044651.19    2.25    1.32    2.61

-2148738.55    4426649.04    4044651.27    2.25    1.32    2.61

-2148738.50    4426649.08    4044651.13    2.25    1.31    2.61

-2148736.92    4426647.23    4044649.09    2.25    1.31    2.60

-2148736.39    4426651.30    4044653.13    2.25    1.31    2.60

-2148736.64    4426651.82    4044653.55    2.24    1.30    2.59

-2148736.91    4426650.67    4044652.10    2.24    1.30    2.59

-2148736.55    4426649.90    4044651.11    2.24    1.29    2.59

-2148734.01    4426643.11    4044644.62    2.23    1.29    2.58

-2148737.64    4426648.77    4044651.33    2.23    1.29    2.58

-2148735.58    4426650.27    4044651.61    2.23    1.28    2.57

-2148736.69    4426648.31    4044649.43    2.22    1.28    2.57

-2148735.11    4426650.11    4044649.84    2.22    1.27    2.56

-2148735.09    4426646.33    4044647.15    2.22    1.27    2.55

-2148734.25    4426645.69    4044647.48    2.21    1.27    2.55

-2148739.16    4426649.92    4044651.55    2.21    1.26    2.54

-2148736.05    4426648.19    4044649.38    2.20    1.26    2.54

-2148736.84    4426649.34    4044649.62    2.20    1.25    2.53

-2148734.77    4426649.35    4044649.84    2.20    1.25    2.52

-2148734.55    4426648.17    4044650.11    2.19    1.24    2.52

-2148735.35    4426647.03    4044648.25    2.19    1.24    2.51

-2148733.77    4426647.10    4044649.97    2.18    1.23    2.51

-2148736.85    4426651.24    4044653.39    2.18    1.23    2.50

-2148735.44    4426651.99    4044652.66    2.17    1.22    2.49

-2148733.50    4426651.56    4044651.62    2.17    1.22    2.48

-2148732.81    4426645.36    4044646.23    2.16    1.21    2.48

-2148733.54    4426649.07    4044649.46    2.16    1.21    2.47

-2148736.84    4426653.26    4044653.14    2.15    1.20    2.46

-2148736.13    4426648.58    4044650.84    2.14    1.20    2.46

-2148734.13    4426647.27    4044648.82    2.14    1.19    2.45

-2148735.36    4426652.33    4044652.34    2.13    1.19    2.44

-2148734.77    4426648.05    4044648.63    2.13    1.18    2.43

-2148735.93    4426650.08    4044651.93    2.12    1.18    2.43

-2148735.74    4426653.62    4044654.47    2.12    1.17    2.42

-2148733.13    4426648.58    4044650.32    2.11    1.17    2.41

-2148733.94    4426650.82    4044652.91    2.11    1.16    2.41

-2148733.86    4426647.82    4044648.63    2.10    1.16    2.40

-2148733.31    4426655.37    4044656.18    2.10    1.15    2.39

-2148732.12    4426650.76    4044652.32    2.39    1.44    2.79

-2148734.96    4426655.43    4044654.59    2.39    1.43    2.78

-2148734.32    4426649.85    4044650.38    2.38    1.43    2.77

-2148733.55    4426649.49    4044651.57    2.37    1.42    2.76

-2148733.99    4426652.95    4044651.94    2.36    1.41    2.75

-2148732.80    4426648.54    4044648.86    2.36    1.40    2.74

-2148734.85    4426653.98    4044653.34    2.35    1.40    2.73

-2148734.09    4426650.58    4044651.08    2.34    1.39    2.72

-2148734.53    4426652.12    4044651.09    2.33    1.38    2.71

-2148734.05    4426650.54    4044650.17    2.33    1.38    2.70

-2148732.42    4426646.50    4044648.56    2.32    1.37    2.69

-2148733.11    4426651.60    4044650.64    2.31    1.36    2.68

-2148732.72    4426654.26    4044653.15    2.31    1.36    2.68

-2148732.78    4426651.29    4044651.77    2.30    1.35    2.67

-2148732.31    4426647.97    4044649.89    2.29    1.35    2.66

-2148733.12    4426649.76    4044652.85    2.28    1.34    2.65

-2148731.34    4426646.88    4044649.36    2.28    1.33    2.64

-2148731.70    4426645.95    4044648.53    2.27    1.33    2.63

